pedido_id,data,ano,mes,estado,regiao,cidade,canal,categoria,marca,produto,preco_unitario,quantidade,desconto,receita,custo,lucro,margem_pct,ano_mes,trimestre
P2310-00001,2023-10-16,2023,10,RS,Sul,Porto Alegre,E-commerce,Notebooks,Helix,Helix Pro 14,4683.24,1,0.114,4150.15,2433.24,1716.9,41.37,2023-10,2023Q4
P2412-00002,2024-12-03,2024,12,SC,Sul,Joinville,Loja Física,Casa Inteligente,HomeX,HomeX Sensor Pack,710.68,1,0.026,692.43,375.88,316.55,45.72,2024-12,2024Q4
P2407-00003,2024-07-06,2024,7,SP,Sudeste,Campinas,E-commerce,TVs & Áudio,Lumina,Lumina Soundbar,2380.29,2,0.081,4375.62,2991.56,1384.06,31.63,2024-07,2024Q3
P2403-00004,2024-03-27,2024,3,SC,Sul,Blumenau,Loja Física,Acessórios,Pulse,Pulse ANC,289.81,1,0.083,265.74,142.39,123.35,46.42,2024-03,2024Q1
P2305-00005,2023-05-12,2023,5,RJ,Sudeste,Niterói,Loja Física,TVs & Áudio,Vertex,Vertex OLED 65,4604.27,1,0.034,4447.12,2578.16,1868.96,42.03,2023-05,2023Q2
P2305-00006,2023-05-12,2023,5,SP,Sudeste,São José dos Campos,Parceiros B2B,Notebooks,Helix,Helix Pro 14,4691.76,2,0.018,9211.2,5944.02,3267.18,35.47,2023-05,2023Q2
P2302-00007,2023-02-22,2023,2,SP,Sudeste,São José dos Campos,Loja Física,Casa Inteligente,Nexa,Nexa Lamp,395.23,2,0.008,784.43,397.66,386.77,49.31,2023-02,2023Q1
P2410-00008,2024-10-10,2024,10,PR,Sul,Londrina,Parceiros B2B,Acessórios,Pulse,Pulse Fit,260.58,2,0.07,484.91,209.53,275.39,56.79,2024-10,2024Q4
P2403-00009,2024-03-29,2024,3,BA,Nordeste,Salvador,Marketplace,Notebooks,Helix,Helix Flex,3976.6,2,0.101,7147.19,4045.34,3101.85,43.4,2024-03,2024Q1
P2406-00010,2024-06-19,2024,6,SP,Sudeste,São Paulo,E-commerce,Notebooks,Helix,Helix Pro 14,3952.52,2,0.084,7239.67,4182.67,3056.99,42.23,2024-06,2024Q2
P2301-00011,2023-01-19,2023,1,RJ,Sudeste,Niterói,Marketplace,Notebooks,Helix,Helix Pro 16,3733.35,1,0.107,3335.41,2096.87,1238.54,37.13,2023-01,2023Q1
P2412-00012,2024-12-14,2024,12,SP,Sudeste,Campinas,E-commerce,Gaming & Consoles,Arcade,Arcade One,3439.58,1,0.045,3285.09,1786.93,1498.16,45.6,2024-12,2024Q4
P2409-00013,2024-09-17,2024,9,SP,Sudeste,São Paulo,E-commerce,Gaming & Consoles,Arcade,Arcade Elite,4267.51,1,0.049,4058.99,2351.51,1707.48,42.07,2024-09,2024Q3
P2306-00014,2023-06-22,2023,6,SP,Sudeste,São Paulo,E-commerce,Notebooks,Nimbus,Nimbus Studio,3643.73,1,0.144,3117.66,1567.42,1550.25,49.72,2023-06,2023Q2
